time,voluntary,involuntary
2025-03-21 16:10:12,0,0
2025-03-21 16:10:11,0,0
2025-03-21 16:10:10,0,0
2025-03-21 16:10:09,0,0
2025-03-21 16:10:08,0,0
2025-03-21 16:10:07,0,0
2025-03-21 16:10:06,0,0
2025-03-21 16:10:05,0,0
2025-03-21 16:10:04,0,0
2025-03-21 16:10:03,0,0
2025-03-21 16:10:02,0,0
2025-03-21 16:10:01,0,0
2025-03-21 16:10:00,0,0
2025-03-21 16:09:59,0,0
2025-03-21 16:09:58,0,0
2025-03-21 16:09:57,1.0036,2.0073
2025-03-21 16:09:56,0,1.0019
2025-03-21 16:09:55,2.0047,4.0095
2025-03-21 16:09:54,0,3.9869
2025-03-21 16:09:53,0,0
2025-03-21 16:09:52,0,0
2025-03-21 16:09:51,0,0
2025-03-21 16:09:50,0,0
2025-03-21 16:09:49,0,0
2025-03-21 16:09:48,0,0
2025-03-21 16:09:47,0,0
2025-03-21 16:09:46,0,0
2025-03-21 16:09:45,0,0
2025-03-21 16:09:44,0,0
2025-03-21 16:09:43,0,0
2025-03-21 16:09:42,0,0
2025-03-21 16:09:41,0,0
2025-03-21 16:09:40,0,0
2025-03-21 16:09:39,0,0
2025-03-21 16:09:38,0,0
2025-03-21 16:09:37,0,0
2025-03-21 16:09:36,0,0
2025-03-21 16:09:35,0,0
2025-03-21 16:09:34,0,0
2025-03-21 16:09:33,0,0
2025-03-21 16:09:32,0,0
2025-03-21 16:09:31,0,0
2025-03-21 16:09:30,0,0
2025-03-21 16:09:29,0,0
2025-03-21 16:09:28,0,0
2025-03-21 16:09:27,0,0
2025-03-21 16:09:26,0,0
2025-03-21 16:09:25,1.0003,0
2025-03-21 16:09:24,126.3317,4.0105
2025-03-21 16:09:23,201.8748,10.9931
2025-03-21 16:09:22,225.1015,2.0009
2025-03-21 16:09:21,208.9448,0
2025-03-21 16:09:20,122.0178,2.0002
2025-03-21 16:09:19,215.9755,23.9972
2025-03-21 16:09:18,185.3686,37.0737
2025-03-21 16:09:17,98.2355,0
2025-03-21 16:09:16,95.4839,0.9946
2025-03-21 16:09:15,185.6565,11.9778
2025-03-21 16:09:14,142.9003,0
2025-03-21 16:09:13,171.0788,14.0064
2025-03-21 16:09:12,182.8407,2.9973
